OID_,Movements_south_projected2_Length,POINT_X,POINT_Y,TWI,S,ID,NEAR_FID,DFC
109,2.892345528509081,825062.013100000098348,9873443.942099999636412,5.9755521,3.6145928,3.8460815,1,408.295396127673712
110,4.675915814140629,825044.028699999675155,9873494.993699999526143,5.9755521,3.6145928,3.8222382,1,419.742415606811221
111,3.395228844101357,825132.644299999810755,9873526.822499999776483,5.9755521,3.6145928,3.6408277,1,330.367866602193828
112,2.136976598731520,825236.681800000369549,9873443.677999999374151,6.2507563,4.1337285,4.0671625,1,237.424589033802135
113,4.595788876609592,824912.153900000266731,9873556.893400000408292,6.4737926,3.5738454,4.8601027,1,551.972925879037462
114,4.156578935857426,825213.983300000429153,9873930.698599999770522,6.2276435,4.5468335,4.0922503,1,377.394556341831844
115,2.460114161023560,825265.151600000448525,9873932.108100000768900,6.2276435,4.5468335,3.7615597,1,331.175288484500129
116,3.145356464419928,825254.917000000365078,9873962.104299999773502,6.2276435,4.5468335,3.7341890,1,352.674976563268672
117,4.289257421489290,825031.482300000265241,9873534.843599999323487,4.8215876,10.7414579,3.9826491,1,431.699879181309427
118,3.772759018886331,825076.214700000360608,9873548.412799999117851,5.9755521,3.6145928,3.5923190,1,387.713893666099011
119,3.339224208769830,824991.856999999843538,9873607.275900000706315,5.7884307,4.7384024,4.0393763,1,478.231414527938171
120,3.627108038296569,825034.391800000332296,9873675.893799999728799,5.7518468,4.6629424,3.5695815,1,446.235621520802226
121,2.488148542916091,824976.059799999929965,9873653.698499999940395,5.7884307,4.7384024,3.8809109,1,499.832560547538549
122,2.654574362126511,824916.875799999572337,9873794.623700000345707,6.2218990,3.6877611,3.8595495,1,592.985058660910795
123,4.830111363069387,825005.458899999968708,9873758.419600000604987,5.7518468,4.6629424,2.5574141,1,497.320594451382931
124,4.066625206536643,825115.668700000271201,9873762.385700000450015,5.1271739,7.5595160,2.0222359,1,397.575618554404002
125,4.706271496111211,824983.467299999669194,9873799.246200000867248,5.7518468,4.6629424,2.9047842,1,533.155643932138787
126,3.399422362812929,825478.480200000107288,9873681.034800000488758,6.4042525,3.2325180,1.1095532,1,33.861175285793422
127,3.523838244016604,825049.790799999609590,9873855.822399999946356,5.4312997,7.2611642,3.3507199,1,496.393714739541508
128,3.261318164708166,825100.055399999953806,9873919.998999999836087,5.4312997,7.2611642,4.0227656,1,477.242858293102984
129,3.809119741849850,824898.403500000014901,9873832.117300000041723,6.2592888,3.2082634,4.0418148,1,624.258455211065211
