OID_,mem_point_LineOID,mem_point_Value,Movement_Merge_FID,Movement_Merge_Id,Movement_Merge_Length,Movement_Merge_Distance,Movement_Merge_UniID,POINT_X,POINT_Y,TWI,S,ID,NEAR_FID,DFC
1023,1022,0,1022,0,6,5.54977446692,1023,822758.2758,9895396.7199,6.3067269,7.4163918,3.8854058,1,1769.59667459232
1024,1023,0,1023,0,6,6.15797160377,1024,823172.5247,9893886.31,6.3851452,4.6561728,3.6336224,1,2126.41260162379
1025,1024,0,1024,0,9,9.02803962146,1025,822637.0703,9893025.9609,5.516016,10.3530531,1.0230451,1,2600.04138700136
1026,1025,0,1025,0,10,10.2138558494,1026,823276.6835,9892015.6661,5.3355837,7.7999458,0.8431566,1,2117.39294299893
1027,1026,0,1026,0,9,9.30111403582,1027,823535.6694,9892050.1773,5.3727579,9.9908533,1.1534443,1,1856.8688101179
1028,1027,0,1027,0,8,8.0694210868,1028,823425.306,9892037.7638,5.5473571,8.2642469,0.9713305,1,1967.41348947595
1029,1028,0,1028,0,11,10.7052285208,1029,823357.6087,9891980.9401,5.5527239,8.0474672,1.1513523,1,2045.39905252183
1030,1029,0,1029,0,10,9.82726491703,1030,823437.2967,9892109.6726,5.3727579,9.9908533,0.2743634,1,1940.81040395352
1031,1030,0,1030,0,7,7.06201892267,1031,823488.1063,9891918.5992,5.6407361,6.3158932,1.4080771,1,1932.6035700485
1032,1031,0,1031,0,7,6.79338286398,1032,823453.3304,9891860.2197,5.6407361,6.3158932,1.5023152,1,1981.21709306705
1033,1032,0,1032,0,7,6.92097678034,1033,823434.1809,9891786.5,5.9979897,4.4218841,1.5611455,1,2018.74631476167
1034,1033,0,1033,0,7,6.73211978446,1034,823696.2612,9892057.6908,5.4316077,8.5640306,1.2751133,1,1698.19501531957
1035,1034,0,1034,0,7,6.78342891641,1035,823692.1859,9891943.1396,5.771966,6.699883,1.5000817,1,1729.0524054714
1036,1035,0,1035,0,6,6.16610761851,1036,823575.987,9891987.7453,6.1323719,6.0868831,1.3886842,1,1830.73228482071
1037,1036,0,1036,0,6,5.64246570434,1037,823730.7702,9891807.6156,5.8140144,4.2921886,1.6051157,1,1726.75731505989
